NAME,BEGIN,END,KWH_PERIOD
0147KO,01/04/2020,30/04/2020,2 502
0147KO,01/05/2020,31/05/2020,2 581
0147KO,01/06/2020,30/06/2020,2 555
0147KO,01/07/2020,31/07/2020,2 719
0147KO,01/08/2020,31/08/2020,2 767
0147KO,01/09/2020,30/09/2020,2 638
0147KO,01/10/2020,31/10/2020,2 699
0147KO,01/11/2020,30/11/2020,2 597
0147KO,01/12/2020,31/12/2020,2 661
0147KO,01/01/2021,31/01/2021,2 647
0147KO,01/02/2021,28/02/2021,2 399
0147KO,01/03/2021,31/03/2021,2 644
0147KO,01/04/2021,30/04/2021,2 558
0147KO,01/05/2021,31/05/2021,2 655
0147KO,01/06/2021,30/06/2021,2 700
0147KO,01/07/2021,31/07/2021,3 182
0147KO,01/08/2021,31/08/2021,3 135
0147KO,01/09/2021,30/09/2021,2 803
0147KO,01/10/2021,31/10/2021,2 849
0147KO,01/11/2021,30/11/2021,2 711
0254BB,01/01/2019,31/01/2019,4 275
0254BB,01/02/2019,28/02/2019,3 640
0254BB,01/03/2019,31/03/2019,2 875
0254BB,01/04/2019,30/04/2019,1 854
0254BB,01/05/2019,31/05/2019,1 967
0254BB,01/06/2019,30/06/2019,2 836
0254BB,01/07/2019,31/07/2019,3 966
0254BB,01/08/2019,31/08/2019,4 455
0254BB,01/09/2019,30/09/2019,2 643
0254BB,01/10/2019,31/10/2019,2 010
0254BB,01/11/2019,30/11/2019,1 827
0254BB,01/12/2019,31/12/2019,1 610
0254BB,01/01/2020,31/01/2020,1 467
0254BB,01/02/2020,29/02/2020,1 392
0254BB,01/03/2020,31/03/2020,1 464
0254BB,01/04/2020,30/04/2020,1 426
0254BB,01/05/2020,31/05/2020,1 481
0254BB,01/06/2020,30/06/2020,1 461
0254BB,01/07/2020,31/07/2020,1 525
0254BB,01/08/2020,31/08/2020,1 504
0254BB,01/09/2020,30/09/2020,1 423
0254BB,01/10/2020,31/10/2020,1 458
0254BB,01/11/2020,30/11/2020,1 391
0254BB,01/12/2020,31/12/2020,1 412
0254BB,01/01/2021,31/01/2021,1 399
0254BB,01/02/2021,28/02/2021,1 253
0254BB,01/03/2021,31/03/2021,1 371
0254BB,01/04/2021,30/04/2021,1 326
0254BB,01/05/2021,31/05/2021,1 373
0254BB,01/06/2021,30/06/2021,1 389
