NAME,BEGIN,END,KWH_PERIOD
1012BR,01/04/2020,30/04/2020,2 721
1012BR,01/05/2020,31/05/2020,2 817
1012BR,01/06/2020,30/06/2020,2 766
1012BR,01/07/2020,31/07/2020,2 933
1012BR,01/08/2020,31/08/2020,2 967
1012BR,01/09/2020,30/09/2020,2 810
1012BR,01/10/2020,31/10/2020,2 880
1012BR,01/11/2020,30/11/2020,2 773
1012BR,01/12/2020,31/12/2020,2 837
1012BR,01/01/2021,31/01/2021,2 830
1012BR,01/02/2021,28/02/2021,2 588
1012BR,01/03/2021,31/03/2021,2 899
1012BR,01/04/2021,30/04/2021,2 800
1012BR,01/05/2021,31/05/2021,2 866
1012BR,01/06/2021,30/06/2021,2 907
1012BR,01/07/2021,31/07/2021,3 014
1012BR,01/08/2021,31/08/2021,2 954
1012BR,01/09/2021,30/09/2021,2 840
1012BR,01/10/2021,31/10/2021,2 855
1012BR,01/11/2021,30/11/2021,2 716
1016BR,01/01/2019,31/01/2019,2 439
1016BR,01/02/2019,28/02/2019,2 097
1016BR,01/03/2019,31/03/2019,2 273
1016BR,01/04/2019,30/04/2019,2 208
1016BR,01/05/2019,31/05/2019,2 286
1016BR,01/06/2019,30/06/2019,2 332
1016BR,01/07/2019,31/07/2019,2 373
1016BR,01/08/2019,31/08/2019,2 308
1016BR,01/09/2019,30/09/2019,2 220
1016BR,01/10/2019,31/10/2019,2 278
1016BR,01/11/2019,30/11/2019,2 191
1016BR,01/12/2019,31/12/2019,2 302
1016BR,01/01/2020,31/01/2020,2 356
1016BR,01/02/2020,29/02/2020,2 128
1016BR,01/03/2020,31/03/2020,2 298
1016BR,01/04/2020,30/04/2020,2 222
1016BR,01/05/2020,31/05/2020,2 281
1016BR,01/06/2020,30/06/2020,2 191
1016BR,01/07/2020,31/07/2020,2 151
1016BR,01/08/2020,31/08/2020,2 220
1016BR,01/09/2020,30/09/2020,2 141
1016BR,01/10/2020,31/10/2020,2 193
1016BR,01/11/2020,30/11/2020,2 127
1016BR,01/12/2020,31/12/2020,2 396
1016BR,01/01/2021,31/01/2021,2 509
1016BR,01/02/2021,28/02/2021,2 373
1016BR,01/03/2021,31/03/2021,2 626
1016BR,01/04/2021,30/04/2021,2 518
1016BR,01/05/2021,31/05/2021,2 508
1016BR,01/06/2021,30/06/2021,2 458
1016BR,01/07/2021,31/07/2021,2 541
1016BR,01/08/2021,31/08/2021,2 521
1016BR,01/09/2021,30/09/2021,2 441
1016BR,01/10/2021,31/10/2021,2 508
1016BR,01/11/2021,30/11/2021,2 406
1017BR,01/01/2019,31/01/2019,2 715
1017BR,01/02/2019,28/02/2019,2 410
1017BR,01/03/2019,31/03/2019,2 589
1017BR,01/04/2019,30/04/2019,2 666
1017BR,01/05/2019,31/05/2019,2 687
1017BR,01/06/2019,30/06/2019,2 680
1017BR,01/07/2019,31/07/2019,2 737
1017BR,01/08/2019,31/08/2019,2 636
1017BR,01/09/2019,30/09/2019,2 510
1017BR,01/10/2019,31/10/2019,2 581
1017BR,01/11/2019,30/11/2019,2 468
1017BR,01/12/2019,31/12/2019,2 526
1017BR,01/01/2020,31/01/2020,2 549
1017BR,01/02/2020,29/02/2020,2 445
1017BR,01/03/2020,31/03/2020,2 649
1017BR,01/04/2020,30/04/2020,2 480
1017BR,01/05/2020,31/05/2020,2 601
1017BR,01/06/2020,30/06/2020,2 553
1017BR,01/07/2020,31/07/2020,2 716
1017BR,01/08/2020,31/08/2020,2 762
1017BR,01/09/2020,30/09/2020,2 626
1017BR,01/10/2020,31/10/2020,2 688
1017BR,01/11/2020,30/11/2020,2 588
1017BR,01/12/2020,31/12/2020,2 670
1017BR,01/01/2021,31/01/2021,2 685
1017BR,01/02/2021,28/02/2021,2 448
1017BR,01/03/2021,31/03/2021,2 742
1017BR,01/04/2021,30/04/2021,2 645
1017BR,01/05/2021,31/05/2021,2 736
1017BR,01/06/2021,30/06/2021,2 926
1017BR,01/07/2021,31/07/2021,3 029
1017BR,01/08/2021,31/08/2021,2 975
1017BR,01/09/2021,30/09/2021,2 852
1017BR,01/10/2021,31/10/2021,2 920
1017BR,01/11/2021,30/11/2021,2 784
1019BR,01/01/2019,31/01/2019,2 399
1019BR,01/02/2019,28/02/2019,2 154
1019BR,01/03/2019,31/03/2019,2 216
1019BR,01/04/2019,30/04/2019,2 162
1019BR,01/05/2019,31/05/2019,2 381
1019BR,01/06/2019,30/06/2019,2 520
1019BR,01/07/2019,31/07/2019,2 668
1019BR,01/08/2019,31/08/2019,2 741
1019BR,01/09/2019,30/09/2019,2 579
1019BR,01/10/2019,31/10/2019,2 648
1019BR,01/11/2019,30/11/2019,2 538
1019BR,01/12/2019,31/12/2019,2 573
1019BR,01/01/2020,31/01/2020,2 581
1019BR,01/02/2020,29/02/2020,2 462
1019BR,01/03/2020,31/03/2020,2 647
1019BR,01/04/2020,30/04/2020,2 680
1019BR,01/05/2020,31/05/2020,2 764
1019BR,01/06/2020,30/06/2020,2 707
1019BR,01/07/2020,31/07/2020,2 900
1019BR,01/08/2020,31/08/2020,2 938
1019BR,01/09/2020,30/09/2020,2 787
1019BR,01/10/2020,31/10/2020,2 832
1019BR,01/11/2020,30/11/2020,2 745
1019BR,01/12/2020,31/12/2020,2 807
1019BR,01/01/2021,31/01/2021,2 803
1019BR,01/02/2021,28/02/2021,2 561
1019BR,01/03/2021,31/03/2021,2 874
1019BR,01/04/2021,30/04/2021,2 786
1019BR,01/05/2021,31/05/2021,2 828
1019BR,01/06/2021,30/06/2021,2 860
1019BR,01/07/2021,31/07/2021,2 955
1019BR,01/08/2021,31/08/2021,2 900
1019BR,01/09/2021,30/09/2021,2 791
1019BR,01/10/2021,31/10/2021,2 839
1019BR,01/11/2021,30/11/2021,2 709
1023BR,01/01/2019,31/01/2019,2 083
1023BR,01/02/2019,28/02/2019,1 843
1023BR,01/03/2019,31/03/2019,2 012
1023BR,01/04/2019,30/04/2019,1 974
1023BR,01/05/2019,31/05/2019,2 024
1023BR,01/06/2019,30/06/2019,2 035
1023BR,01/07/2019,31/07/2019,2 091
1023BR,01/08/2019,31/08/2019,2 095
1023BR,01/09/2019,30/09/2019,1 972
1023BR,01/10/2019,31/10/2019,2 034
1023BR,01/11/2019,30/11/2019,1 967
1023BR,01/12/2019,31/12/2019,2 057
1023BR,01/01/2020,31/01/2020,2 086
1023BR,01/02/2020,29/02/2020,1 922
1023BR,01/03/2020,31/03/2020,2 060
1023BR,01/04/2020,30/04/2020,1 950
1023BR,01/05/2020,31/05/2020,2 021
1023BR,01/06/2020,30/06/2020,1 979
1023BR,01/07/2020,31/07/2020,2 074
1023BR,01/08/2020,31/08/2020,2 275
1023BR,01/09/2020,30/09/2020,2 277
1023BR,01/10/2020,31/10/2020,2 355
1023BR,01/11/2020,30/11/2020,2 291
1023BR,01/12/2020,31/12/2020,2 374
1023BR,01/01/2021,31/01/2021,2 427
1023BR,01/02/2021,28/02/2021,2 174
1023BR,01/03/2021,31/03/2021,2 320
1023BR,01/04/2021,30/04/2021,2 218
1023BR,01/05/2021,31/05/2021,2 255
1023BR,01/06/2021,30/06/2021,2 219
1023BR,01/07/2021,31/07/2021,2 299
1023BR,01/08/2021,31/08/2021,2 287
1023BR,01/09/2021,30/09/2021,2 195
1023BR,01/10/2021,31/10/2021,2 258
1023BR,01/11/2021,30/11/2021,2 178
1026BR,01/01/2019,31/01/2019,3 308
1026BR,01/02/2019,28/02/2019,2 781
1026BR,01/03/2019,31/03/2019,2 875
1026BR,01/04/2019,30/04/2019,2 766
1026BR,01/05/2019,31/05/2019,2 853
1026BR,01/06/2019,30/06/2019,2 956
1026BR,01/07/2019,31/07/2019,3 088
1026BR,01/08/2019,31/08/2019,3 132
1026BR,01/09/2019,30/09/2019,3 089
1026BR,01/10/2019,31/10/2019,3 152
1026BR,01/11/2019,30/11/2019,3 060
1026BR,01/12/2019,31/12/2019,3 444
1026BR,01/01/2020,31/01/2020,3 500
1026BR,01/02/2020,29/02/2020,3 018
1026BR,01/03/2020,31/03/2020,3 203
1026BR,01/04/2020,30/04/2020,2 824
1026BR,01/05/2020,31/05/2020,2 918
1026BR,01/06/2020,30/06/2020,2 918
1026BR,01/07/2020,31/07/2020,3 105
1026BR,01/08/2020,31/08/2020,2 958
1026BR,01/09/2020,30/09/2020,2 706
1026BR,01/10/2020,31/10/2020,2 819
1026BR,01/11/2020,30/11/2020,2 721
1026BR,01/12/2020,31/12/2020,2 868
1026BR,01/01/2021,31/01/2021,2 984
1026BR,01/02/2021,28/02/2021,2 715
1026BR,01/03/2021,31/03/2021,2 858
1026BR,01/04/2021,30/04/2021,2 687
1026BR,01/05/2021,31/05/2021,2 771
1026BR,01/06/2021,30/06/2021,2 760
1026BR,01/07/2021,31/07/2021,2 874
1026BR,01/08/2021,31/08/2021,2 849
1026BR,01/09/2021,30/09/2021,2 727
1026BR,01/10/2021,31/10/2021,2 824
1026BR,01/11/2021,30/11/2021,2 729
1029BR,01/01/2019,31/01/2019,2 287
1029BR,01/02/2019,28/02/2019,2 007
1029BR,01/03/2019,31/03/2019,2 219
1029BR,01/04/2019,30/04/2019,2 158
1029BR,01/05/2019,31/05/2019,2 237
1029BR,01/06/2019,30/06/2019,2 211
1029BR,01/07/2019,31/07/2019,2 275
1029BR,01/08/2019,31/08/2019,2 279
1029BR,01/09/2019,30/09/2019,2 176
1029BR,01/10/2019,31/10/2019,2 240
1029BR,01/11/2019,30/11/2019,2 150
1029BR,01/12/2019,31/12/2019,2 251
1029BR,01/01/2020,31/01/2020,2 260
1029BR,01/02/2020,29/02/2020,2 086
1029BR,01/03/2020,31/03/2020,2 264
1029BR,01/04/2020,30/04/2020,2 188
1029BR,01/05/2020,31/05/2020,2 280
1029BR,01/06/2020,30/06/2020,2 280
1029BR,01/07/2020,31/07/2020,2 359
1029BR,01/08/2020,31/08/2020,2 368
1029BR,01/09/2020,30/09/2020,2 263
1029BR,01/10/2020,31/10/2020,2 317
1029BR,01/11/2020,30/11/2020,2 211
1029BR,01/12/2020,31/12/2020,2 268
1029BR,01/01/2021,31/01/2021,2 279
1029BR,01/02/2021,28/02/2021,2 058
1029BR,01/03/2021,31/03/2021,2 226
1029BR,01/04/2021,30/04/2021,2 156
1029BR,01/05/2021,31/05/2021,2 207
1029BR,01/06/2021,30/06/2021,2 177
1029BR,01/07/2021,31/07/2021,2 237
1029BR,01/08/2021,31/08/2021,2 288
1029BR,01/09/2021,30/09/2021,2 277
1029BR,01/10/2021,31/10/2021,2 328
1029BR,01/11/2021,30/11/2021,2 243
1033BR,01/01/2019,31/01/2019,1 926
1033BR,01/02/2019,28/02/2019,1 743
1033BR,01/03/2019,31/03/2019,1 938
1033BR,01/04/2019,30/04/2019,1 872
1033BR,01/05/2019,31/05/2019,1 947
1033BR,01/06/2019,30/06/2019,1 937
1033BR,01/07/2019,31/07/2019,2 004
1033BR,01/08/2019,31/08/2019,1 968
1033BR,01/09/2019,30/09/2019,1 861
1033BR,01/10/2019,31/10/2019,1 925
1033BR,01/11/2019,30/11/2019,1 864
1033BR,01/12/2019,31/12/2019,1 921
1033BR,01/01/2020,31/01/2020,1 920
1033BR,01/02/2020,29/02/2020,1 804
1033BR,01/03/2020,31/03/2020,1 960
1033BR,01/04/2020,30/04/2020,1 921
1033BR,01/05/2020,31/05/2020,1 977
1033BR,01/06/2020,30/06/2020,1 896
1033BR,01/07/2020,31/07/2020,1 981
1033BR,01/08/2020,31/08/2020,1 978
1033BR,01/09/2020,30/09/2020,1 876
1033BR,01/10/2020,31/10/2020,1 921
1033BR,01/11/2020,30/11/2020,1 879
1033BR,01/12/2020,31/12/2020,1 869
1033BR,01/01/2021,31/01/2021,1 861
1033BR,01/02/2021,28/02/2021,1 677
1033BR,01/03/2021,31/03/2021,1 857
1033BR,01/04/2021,30/04/2021,1 782
1033BR,01/05/2021,31/05/2021,1 811
1033BR,01/06/2021,30/06/2021,1 794
1033BR,01/07/2021,31/07/2021,1 883
1033BR,01/08/2021,31/08/2021,1 868
1033BR,01/09/2021,30/09/2021,1 783
1033BR,01/10/2021,31/10/2021,1 921
1033BR,01/11/2021,30/11/2021,1 845
2106BB,01/01/2019,31/01/2019,985
2106BB,01/02/2019,28/02/2019,954
2106BB,01/03/2019,31/03/2019,1 085
2106BB,01/04/2019,30/04/2019,1 101
2106BB,01/05/2019,31/05/2019,1 159
2106BB,01/06/2019,30/06/2019,1 193
2106BB,01/07/2019,31/07/2019,1 196
2106BB,01/08/2019,31/08/2019,1 226
2106BB,01/09/2019,30/09/2019,1 121
2106BB,01/10/2019,31/10/2019,1 142
2106BB,01/11/2019,30/11/2019,1 061
2106BB,01/12/2019,31/12/2019,1 053
2106BB,01/01/2020,31/01/2020,1 046
2106BB,01/02/2020,29/02/2020,993
2106BB,01/03/2020,31/03/2020,1 076
2106BB,01/04/2020,30/04/2020,1 091
2106BB,01/05/2020,31/05/2020,1 150
2106BB,01/06/2020,30/06/2020,1 149
2106BB,01/07/2020,31/07/2020,1 226
2106BB,01/08/2020,31/08/2020,1 233
2106BB,01/09/2020,30/09/2020,1 127
2106BB,01/10/2020,31/10/2020,1 108
2106BB,01/11/2020,30/11/2020,1 038
2106BB,01/12/2020,31/12/2020,1 034
2106BB,01/01/2021,31/01/2021,1 013
2106BB,01/02/2021,28/02/2021,917
2106BB,01/03/2021,31/03/2021,1 048
2106BB,01/04/2021,30/04/2021,1 059
2106BB,01/05/2021,31/05/2021,1 145
2106BB,01/06/2021,30/06/2021,1 192
2106BB,01/07/2021,31/07/2021,1 348
2106BB,01/08/2021,31/08/2021,1 114
2106BB,01/09/2021,30/09/2021,892
2106BB,01/10/2021,31/10/2021,1 061
2106BB,01/11/2021,30/11/2021,1 103
0998BR,01/01/2019,31/01/2019,354 670
0998BR,01/02/2019,28/02/2019,322 069
0998BR,01/03/2019,31/03/2019,351 651
0998BR,01/04/2019,30/04/2019,341 042
0998BR,01/05/2019,31/05/2019,341 523
0998BR,01/06/2019,30/06/2019,352 774
0998BR,01/07/2019,31/07/2019,354 322
0998BR,01/08/2019,31/08/2019,352 544
0998BR,01/09/2019,30/09/2019,324 538
0998BR,01/10/2019,31/10/2019,331 042
0998BR,01/11/2019,30/11/2019,317 556
0998BR,01/12/2019,31/12/2019,348 894
0998BR,01/01/2020,31/01/2020,363 015
0998BR,01/02/2020,29/02/2020,352 199
0998BR,01/03/2020,31/03/2020,369 288
0998BR,01/04/2020,30/04/2020,356 211
0998BR,01/05/2020,31/05/2020,358 436
0998BR,01/06/2020,30/06/2020,342 797
0998BR,01/07/2020,31/07/2020,361 339
0998BR,01/08/2020,31/08/2020,365 418
0998BR,01/09/2020,30/09/2020,343 996
0998BR,01/10/2020,31/10/2020,353 320
0998BR,01/11/2020,30/11/2020,347 208
0998BR,01/12/2020,31/12/2020,348 268
0998BR,01/01/2021,31/01/2021,352 064
0998BR,01/02/2021,28/02/2021,320 047
0998BR,01/03/2021,31/03/2021,363 950
0998BR,01/04/2021,30/04/2021,343 158
0998BR,01/05/2021,31/05/2021,338 538
0998BR,01/06/2021,30/06/2021,324 042
0998BR,01/07/2021,31/07/2021,337 393
0998BR,01/08/2021,31/08/2021,329 608
0998BR,01/09/2021,30/09/2021,316 785
0998BR,01/10/2021,31/10/2021,326 756
0998BR,01/11/2021,30/11/2021,304 260
1024BR,01/01/2019,31/01/2019,1 562
1024BR,01/02/2019,28/02/2019,1 411
1024BR,01/03/2019,31/03/2019,1 591
1024BR,01/04/2019,30/04/2019,1 556
1024BR,01/05/2019,31/05/2019,1 618
1024BR,01/06/2019,30/06/2019,1 705
1024BR,01/07/2019,31/07/2019,1 911
1024BR,01/08/2019,31/08/2019,2 038
1024BR,01/09/2019,30/09/2019,1 999
1024BR,01/10/2019,31/10/2019,2 073
1024BR,01/11/2019,30/11/2019,1 995
1024BR,01/12/2019,31/12/2019,2 053
1024BR,01/01/2020,31/01/2020,2 053
1024BR,01/02/2020,29/02/2020,1 926
1024BR,01/03/2020,31/03/2020,2 072
1024BR,01/04/2020,30/04/2020,2 025
1024BR,01/05/2020,31/05/2020,2 094
1024BR,01/06/2020,30/06/2020,2 047
1024BR,01/07/2020,31/07/2020,2 158
1024BR,01/08/2020,31/08/2020,2 179
1024BR,01/09/2020,30/09/2020,2 042
1024BR,01/10/2020,31/10/2020,2 073
1024BR,01/11/2020,30/11/2020,1 943
1024BR,01/12/2020,31/12/2020,1 975
1024BR,01/01/2021,31/01/2021,1 983
1024BR,01/02/2021,28/02/2021,1 785
1024BR,01/03/2021,31/03/2021,1 968
1024BR,01/04/2021,30/04/2021,1 892
1024BR,01/05/2021,31/05/2021,1 930
1024BR,01/06/2021,30/06/2021,1 937
1024BR,01/07/2021,31/07/2021,2 036
1024BR,01/08/2021,31/08/2021,2 043
1024BR,01/09/2021,30/09/2021,2 101
1024BR,01/10/2021,31/10/2021,2 146
1024BR,01/11/2021,30/11/2021,2 045
0611BR,01/01/2019,31/01/2019,1 441
0611BR,01/02/2019,28/02/2019,1 301
0611BR,01/03/2019,31/03/2019,1 437
0611BR,01/04/2019,30/04/2019,1 393
0611BR,01/05/2019,31/05/2019,1 440
0611BR,01/06/2019,30/06/2019,1 394
0611BR,01/07/2019,31/07/2019,1 439
0611BR,01/08/2019,31/08/2019,1 440
0611BR,01/09/2019,30/09/2019,1 398
0611BR,01/10/2019,31/10/2019,1 646
0611BR,01/11/2019,30/11/2019,1 683
0611BR,01/12/2019,31/12/2019,1 660
0611BR,01/01/2020,31/01/2020,1 574
0611BR,01/02/2020,29/02/2020,1 500
0611BR,01/03/2020,31/03/2020,1 657
0611BR,01/04/2020,30/04/2020,1 599
0611BR,01/05/2020,31/05/2020,1 654
0611BR,01/06/2020,30/06/2020,1 604
0611BR,01/07/2020,31/07/2020,1 658
0611BR,01/08/2020,31/08/2020,1 670
0611BR,01/09/2020,30/09/2020,1 584
0611BR,01/10/2020,31/10/2020,1 601
0611BR,01/11/2020,30/11/2020,1 476
0611BR,01/12/2020,31/12/2020,1 517
0611BR,01/01/2021,31/01/2021,1 512
0611BR,01/02/2021,28/02/2021,1 364
0611BR,01/03/2021,31/03/2021,1 505
0611BR,01/04/2021,30/04/2021,1 427
0611BR,01/05/2021,31/05/2021,1 485
0611BR,01/06/2021,30/06/2021,1 455
0611BR,01/07/2021,31/07/2021,1 489
0611BR,01/08/2021,31/08/2021,1 490
0611BR,01/09/2021,30/09/2021,1 442
0611BR,01/10/2021,31/10/2021,1 492
0611BR,01/11/2021,30/11/2021,1 439
0628BR,01/01/2019,31/01/2019,670
0628BR,01/02/2019,28/02/2019,606
0628BR,01/03/2019,31/03/2019,703
0628BR,01/04/2019,30/04/2019,717
0628BR,01/05/2019,31/05/2019,742
0628BR,01/06/2019,30/06/2019,720
0628BR,01/07/2019,31/07/2019,746
0628BR,01/08/2019,31/08/2019,746
0628BR,01/09/2019,30/09/2019,725
0628BR,01/10/2019,31/10/2019,749
0628BR,01/11/2019,30/11/2019,779
0628BR,01/12/2019,31/12/2019,913
0628BR,01/01/2020,31/01/2020,895
0628BR,01/02/2020,29/02/2020,835
0628BR,01/03/2020,31/03/2020,898
0628BR,01/04/2020,30/04/2020,879
0628BR,01/05/2020,31/05/2020,719
0628BR,01/06/2020,30/06/2020,709
0628BR,01/07/2020,31/07/2020,735
0628BR,01/08/2020,31/08/2020,735
0628BR,01/09/2020,30/09/2020,707
0628BR,01/10/2020,31/10/2020,656
0628BR,01/11/2020,30/11/2020,626
0628BR,01/12/2020,31/12/2020,645
0628BR,01/01/2021,31/01/2021,644
0628BR,01/02/2021,28/02/2021,583
0628BR,01/03/2021,31/03/2021,644
0628BR,01/04/2021,30/04/2021,615
0628BR,01/05/2021,31/05/2021,665
0628BR,01/06/2021,30/06/2021,684
0628BR,01/07/2021,31/07/2021,708
0628BR,01/08/2021,31/08/2021,709
0628BR,15/09/2021,30/09/2021,687
0628BR,01/10/2021,31/10/2021,708
0628BR,01/11/2021,30/11/2021,685
0483BB,01/01/2019,31/01/2019,1 959
0483BB,01/02/2019,28/02/2019,1 794
0483BB,01/03/2019,31/03/2019,1 971
0483BB,01/04/2019,30/04/2019,1 912
0483BB,01/05/2019,31/05/2019,1 977
0483BB,01/06/2019,30/06/2019,1 964
0483BB,01/07/2019,31/07/2019,2 013
0483BB,01/08/2019,31/08/2019,2 018
0483BB,01/09/2019,30/09/2019,1 924
0483BB,01/10/2019,31/10/2019,1 982
0483BB,01/11/2019,30/11/2019,1 906
0483BB,01/12/2019,31/12/2019,1 960
0483BB,01/01/2020,31/01/2020,1 958
0483BB,01/02/2020,29/02/2020,1 839
0483BB,01/03/2020,31/03/2020,1 974
0483BB,01/04/2020,30/04/2020,1 940
0483BB,01/05/2020,31/05/2020,2 008
0483BB,01/06/2020,30/06/2020,1 973
0483BB,01/07/2020,31/07/2020,2 047
0483BB,01/08/2020,31/08/2020,2 052
0483BB,01/09/2020,30/09/2020,1 965
0483BB,01/10/2020,31/10/2020,2 004
0483BB,01/11/2020,30/11/2020,1 890
0483BB,01/12/2020,31/12/2020,1 935
0483BB,01/01/2021,31/01/2021,1 928
0483BB,01/02/2021,28/02/2021,1 748
0483BB,01/03/2021,31/03/2021,1 931
0483BB,01/04/2021,30/04/2021,1 879
0483BB,01/05/2021,31/05/2021,1 905
0483BB,01/06/2021,30/06/2021,1 879
0483BB,01/07/2021,31/07/2021,1 950
0483BB,01/08/2021,31/08/2021,1 927
0483BB,01/09/2021,30/09/2021,1 898
0483BB,01/10/2021,31/10/2021,1 956
0483BB,01/11/2021,30/11/2021,1 777
1037BR,01/01/2019,31/01/2019,2 635
1037BR,01/02/2019,28/02/2019,2 381
1037BR,01/03/2019,31/03/2019,2 641
1037BR,01/04/2019,30/04/2019,2 566
1037BR,01/05/2019,31/05/2019,2 657
1037BR,01/06/2019,30/06/2019,2 680
1037BR,01/07/2019,31/07/2019,2 738
1037BR,01/08/2019,31/08/2019,2 671
1037BR,01/09/2019,30/09/2019,2 398
1037BR,01/10/2019,31/10/2019,2 482
1037BR,01/11/2019,30/11/2019,2 384
1037BR,01/12/2019,31/12/2019,2 452
1037BR,01/01/2020,31/01/2020,2 450
1037BR,01/02/2020,29/02/2020,2 367
1037BR,01/03/2020,31/03/2020,2 512
1037BR,01/04/2020,30/04/2020,2 516
1037BR,01/05/2020,31/05/2020,2 595
1037BR,01/06/2020,30/06/2020,2 544
1037BR,01/07/2020,31/07/2020,2 701
1037BR,01/08/2020,31/08/2020,2 735
1037BR,01/09/2020,30/09/2020,2 624
1037BR,01/10/2020,31/10/2020,2 673
1037BR,01/11/2020,30/11/2020,2 560
1037BR,01/12/2020,31/12/2020,2 627
1037BR,01/01/2021,31/01/2021,2 619
1037BR,01/02/2021,28/02/2021,2 404
1037BR,01/03/2021,31/03/2021,2 701
1037BR,01/04/2021,30/04/2021,2 585
1037BR,01/05/2021,31/05/2021,2 644
1037BR,01/06/2021,30/06/2021,2 630
1037BR,01/07/2021,31/07/2021,2 701
1037BR,01/08/2021,31/08/2021,2 675
1037BR,01/09/2021,30/09/2021,2 575
1037BR,01/10/2021,31/10/2021,2 609
1037BR,01/11/2021,30/11/2021,2 479
1013BR,01/01/2019,31/01/2019,2 763
1013BR,01/02/2019,28/02/2019,2 494
1013BR,01/03/2019,31/03/2019,2 771
1013BR,01/04/2019,30/04/2019,2 687
1013BR,01/05/2019,31/05/2019,2 788
1013BR,01/06/2019,30/06/2019,2 781
1013BR,01/07/2019,31/07/2019,2 856
1013BR,01/08/2019,31/08/2019,2 859
1013BR,01/09/2019,30/09/2019,2 710
1013BR,01/10/2019,31/10/2019,2 731
1013BR,01/11/2019,30/11/2019,2 491
1013BR,01/12/2019,31/12/2019,2 569
1013BR,01/01/2020,31/01/2020,2 567
1013BR,01/02/2020,29/02/2020,2 480
1013BR,01/03/2020,31/03/2020,2 711
1013BR,01/04/2020,30/04/2020,2 733
1013BR,01/05/2020,31/05/2020,2 851
1013BR,01/06/2020,30/06/2020,2 746
1013BR,01/07/2020,31/07/2020,2 898
1013BR,01/08/2020,31/08/2020,2 962
1013BR,01/09/2020,30/09/2020,2 807
1013BR,01/10/2020,31/10/2020,2 886
1013BR,01/11/2020,30/11/2020,2 759
1013BR,01/12/2020,31/12/2020,2 833
1013BR,01/01/2021,31/01/2021,2 831
1013BR,01/02/2021,28/02/2021,2 592
1013BR,01/03/2021,31/03/2021,2 919
1013BR,01/04/2021,30/04/2021,2 808
1013BR,01/05/2021,31/05/2021,2 837
1013BR,01/06/2021,30/06/2021,2 861
1013BR,01/07/2021,31/07/2021,2 959
1013BR,01/08/2021,31/08/2021,2 905
1013BR,01/09/2021,30/09/2021,2 792
1013BR,01/10/2021,31/10/2021,2 826
1013BR,01/11/2021,30/11/2021,2 683
1003BB,01/01/2019,31/01/2019,479
1003BB,01/02/2019,28/02/2019,375
1003BB,01/03/2019,31/03/2019,373
1003BB,01/04/2019,30/04/2019,380
1003BB,01/05/2019,31/05/2019,404
1003BB,01/06/2019,30/06/2019,465
1003BB,01/07/2019,31/07/2019,548
1003BB,01/08/2019,31/08/2019,702
1003BB,01/09/2019,30/09/2019,664
1003BB,01/10/2019,31/10/2019,689
1003BB,01/11/2019,30/11/2019,633
1003BB,01/12/2019,31/12/2019,610
1003BB,01/01/2020,31/01/2020,607
1003BB,01/02/2020,29/02/2020,576
1003BB,01/03/2020,31/03/2020,609
1003BB,01/04/2020,30/04/2020,603
1003BB,01/05/2020,31/05/2020,613
1003BB,01/06/2020,30/06/2020,606
1003BB,01/07/2020,31/07/2020,634
1003BB,01/08/2020,31/08/2020,642
1003BB,01/09/2020,30/09/2020,588
1003BB,01/10/2020,31/10/2020,591
1003BB,01/11/2020,30/11/2020,570
1003BB,01/12/2020,31/12/2020,582
1003BB,01/01/2021,31/01/2021,578
1003BB,01/02/2021,28/02/2021,526
1003BB,01/03/2021,31/03/2021,586
1003BB,01/04/2021,30/04/2021,558
1003BB,01/05/2021,31/05/2021,585
1003BB,01/06/2021,30/06/2021,598
1003BB,01/07/2021,31/07/2021,624
1003BB,01/08/2021,31/08/2021,605
1003BB,01/09/2021,30/09/2021,558
1003BB,01/10/2021,31/10/2021,578
1003BB,01/11/2021,30/11/2021,552
1143BR,01/01/2019,31/01/2019,3 003
1143BR,01/02/2019,28/02/2019,2 753
1143BR,01/03/2019,31/03/2019,3 270
1143BR,01/04/2019,30/04/2019,3 206
1143BR,01/05/2019,31/05/2019,3 253
1143BR,01/06/2019,30/06/2019,2 770
1143BR,01/07/2019,31/07/2019,2 917
1143BR,01/08/2019,31/08/2019,2 940
1143BR,01/09/2019,30/09/2019,3 133
1143BR,01/10/2019,31/10/2019,2 965
1143BR,01/11/2019,30/11/2019,2 640
1143BR,01/12/2019,31/12/2019,2 658
1143BR,01/01/2020,31/01/2020,2 712
1143BR,01/02/2020,29/02/2020,2 472
1143BR,01/03/2020,31/03/2020,2 623
1143BR,01/04/2020,30/04/2020,2 494
1143BR,01/05/2020,31/05/2020,2 581
1143BR,01/06/2020,30/06/2020,2 490
1143BR,01/07/2020,31/07/2020,2 589
1143BR,01/08/2020,31/08/2020,2 719
1143BR,01/09/2020,30/09/2020,2 567
1143BR,01/10/2020,31/10/2020,2 624
1143BR,01/11/2020,30/11/2020,2 491
1143BR,01/12/2020,31/12/2020,2 565
1143BR,01/01/2021,31/01/2021,2 555
1143BR,01/02/2021,28/02/2021,2 315
1143BR,01/03/2021,31/03/2021,2 572
1143BR,01/04/2021,30/04/2021,2 495
1143BR,01/05/2021,31/05/2021,2 588
1143BR,01/06/2021,30/06/2021,2 689
1143BR,01/07/2021,31/07/2021,2 807
1143BR,01/08/2021,31/08/2021,3 125
1143BR,01/09/2021,30/09/2021,2 821
1143BR,01/10/2021,31/10/2021,2 437
